Hand,EV,Action
AA,-0.92,CALL
AKs,3.47,FOLD
AKo,-0.6,FOLD
AQs,-0.72,FOLD
AQo,1.74,RAISE
AJs,3.49,RAISE
AJo,3.46,CALL
ATs,-0.46,CALL
ATo,0.94,CALL
A9s,4.91,RAISE
A9o,2.94,CALL
A8s,3.85,RAISE
A8o,-1.41,CALL
A7s,3.41,RAISE
A7o,0.51,RAISE
A6s,2.67,CALL
A6o,3.0,RAISE
A5s,-0.61,CALL
A5o,3.47,FOLD
A4s,4.48,CALL
A4o,-1.2,CALL
A3s,-0.72,RAISE
A3o,-0.98,RAISE
A2s,-0.76,FOLD
A2o,1.87,FOLD
KK,2.37,FOLD
KQs,3.93,FOLD
KQo,4.72,RAISE
KJs,0.96,CALL
KJo,0.48,RAISE
KTs,-0.3,CALL
KTo,-1.95,CALL
K9s,1.69,RAISE
K9o,-0.22,FOLD
K8s,-1.55,FOLD
K8o,3.49,FOLD
K7s,2.77,FOLD
K7o,-0.35,RAISE
K6s,1.01,CALL
K6o,0.66,RAISE
K5s,3.68,FOLD
K5o,2.68,CALL
K4s,-0.23,CALL
K4o,0.21,RAISE
K3s,3.27,RAISE
K3o,4.23,RAISE
K2s,-1.53,RAISE
K2o,2.63,RAISE
QQ,0.96,RAISE
QJs,2.23,RAISE
QJo,-0.17,RAISE
QTs,1.52,FOLD
QTo,3.33,RAISE
Q9s,0.99,CALL
Q9o,-0.4,RAISE
Q8s,1.17,RAISE
Q8o,-1.38,RAISE
Q7s,4.48,FOLD
Q7o,4.82,RAISE
Q6s,4.26,RAISE
Q6o,-0.37,FOLD
Q5s,-0.82,FOLD
Q5o,2.89,FOLD
Q4s,4.14,FOLD
Q4o,4.22,RAISE
Q3s,-1.67,CALL
Q3o,-1.35,FOLD
Q2s,4.69,FOLD
Q2o,2.89,FOLD
JJ,1.67,CALL
JTs,1.6,CALL
JTo,-1.28,RAISE
J9s,1.91,CALL
J9o,-1.58,FOLD
J8s,2.8,RAISE
J8o,4.4,RAISE
J7s,-0.82,RAISE
J7o,3.08,FOLD
J6s,1.13,CALL
J6o,3.25,RAISE
J5s,0.22,RAISE
J5o,3.17,FOLD
J4s,-0.36,CALL
J4o,3.93,CALL
J3s,-1.01,FOLD
J3o,4.54,RAISE
J2s,-0.79,CALL
J2o,3.09,FOLD
TT,0.76,CALL
T9s,2.6,CALL
T9o,3.62,RAISE
T8s,-1.08,CALL
T8o,-1.23,FOLD
T7s,0.26,CALL
T7o,1.4,RAISE
T6s,2.6,CALL
T6o,0.23,CALL
T5s,-1.23,CALL
T5o,2.06,CALL
T4s,3.63,FOLD
T4o,-1.72,RAISE
T3s,2.56,RAISE
T3o,4.5,FOLD
T2s,-0.06,RAISE
T2o,2.33,RAISE
99,1.2,CALL
98s,-0.2,CALL
98o,0.25,CALL
97s,1.27,FOLD
97o,0.66,CALL
96s,1.21,CALL
96o,1.39,FOLD
95s,-0.49,FOLD
95o,-0.89,CALL
94s,-0.8,CALL
94o,4.05,FOLD
93s,-1.13,FOLD
93o,0.08,CALL
92s,-0.24,RAISE
92o,-0.97,RAISE
88,-1.29,RAISE
87s,-0.75,CALL
87o,3.79,CALL
86s,4.78,RAISE
86o,-1.85,CALL
85s,2.48,CALL
85o,-1.36,CALL
84s,1.37,FOLD
84o,4.26,CALL
83s,-0.26,FOLD
83o,1.93,RAISE
82s,0.14,CALL
82o,2.69,RAISE
77,1.36,RAISE
76s,-1.5,CALL
76o,0.89,RAISE
75s,1.73,CALL
75o,4.93,FOLD
74s,2.83,RAISE
74o,2.0,CALL
73s,0.22,FOLD
73o,-0.77,FOLD
72s,0.89,CALL
72o,0.2,RAISE
66,2.57,CALL
65s,2.18,FOLD
65o,2.13,CALL
64s,3.45,FOLD
64o,0.67,CALL
63s,-0.84,CALL
63o,0.23,FOLD
62s,0.37,FOLD
62o,1.05,CALL
55,3.62,CALL
54s,-0.5,RAISE
54o,1.14,RAISE
53s,0.82,FOLD
53o,1.76,CALL
52s,-0.66,CALL
52o,-0.82,RAISE
44,2.84,RAISE
43s,2.99,FOLD
43o,-1.3,CALL
42s,1.41,CALL
42o,3.3,RAISE
33,3.97,CALL
32s,1.37,CALL
32o,-1.17,CALL
22,3.11,FOLD
