Hand,EV,Action
AA,3.44,CALL
AKs,1.68,FOLD
AKo,1.66,CALL
AQs,1.01,CALL
AQo,3.07,FOLD
AJs,-0.58,RAISE
AJo,-0.37,FOLD
ATs,4.5,CALL
ATo,4.92,CALL
A9s,-1.14,CALL
A9o,1.95,FOLD
A8s,1.13,FOLD
A8o,2.2,FOLD
A7s,3.65,FOLD
A7o,2.93,RAISE
A6s,2.03,CALL
A6o,-1.23,CALL
A5s,-1.13,CALL
A5o,3.47,CALL
A4s,3.53,RAISE
A4o,0.09,CALL
A3s,1.37,FOLD
A3o,0.47,FOLD
A2s,1.74,RAISE
A2o,3.71,CALL
KK,3.6,RAISE
KQs,3.76,RAISE
KQo,3.02,CALL
KJs,-0.6,FOLD
KJo,0.06,FOLD
KTs,-0.49,CALL
KTo,-1.96,FOLD
K9s,0.7,FOLD
K9o,-0.88,FOLD
K8s,2.01,FOLD
K8o,0.24,CALL
K7s,3.02,FOLD
K7o,0.82,FOLD
K6s,3.78,RAISE
K6o,-0.79,CALL
K5s,-0.21,RAISE
K5o,1.49,CALL
K4s,1.79,CALL
K4o,-1.9,RAISE
K3s,-0.81,RAISE
K3o,1.14,RAISE
K2s,2.73,CALL
K2o,2.99,RAISE
QQ,0.77,CALL
QJs,4.55,RAISE
QJo,3.85,RAISE
QTs,3.41,FOLD
QTo,2.56,FOLD
Q9s,-1.1,CALL
Q9o,3.18,RAISE
Q8s,1.23,FOLD
Q8o,0.23,FOLD
Q7s,2.91,CALL
Q7o,4.34,RAISE
Q6s,3.5,FOLD
Q6o,4.98,RAISE
Q5s,3.89,FOLD
Q5o,-0.4,RAISE
Q4s,3.82,CALL
Q4o,-0.32,FOLD
Q3s,-1.86,CALL
Q3o,-0.05,RAISE
Q2s,1.65,RAISE
Q2o,4.94,CALL
JJ,2.06,CALL
JTs,-0.42,FOLD
JTo,2.26,FOLD
J9s,1.26,CALL
J9o,0.27,FOLD
J8s,0.77,FOLD
J8o,-0.82,RAISE
J7s,4.62,CALL
J7o,-1.93,RAISE
J6s,1.19,RAISE
J6o,0.1,FOLD
J5s,3.15,RAISE
J5o,-1.44,FOLD
J4s,2.14,RAISE
J4o,3.91,CALL
J3s,4.94,CALL
J3o,3.56,CALL
J2s,-1.21,RAISE
J2o,4.16,CALL
TT,0.14,CALL
T9s,4.82,RAISE
T9o,-0.66,FOLD
T8s,4.23,CALL
T8o,0.17,CALL
T7s,4.33,FOLD
T7o,-1.41,CALL
T6s,1.02,CALL
T6o,-1.12,FOLD
T5s,4.02,RAISE
T5o,3.06,FOLD
T4s,4.52,RAISE
T4o,3.82,CALL
T3s,-1.19,CALL
T3o,1.13,RAISE
T2s,2.44,CALL
T2o,-0.6,RAISE
99,-1.57,FOLD
98s,1.49,RAISE
98o,2.93,RAISE
97s,2.38,RAISE
97o,2.72,CALL
96s,2.69,FOLD
96o,-1.08,FOLD
95s,1.76,CALL
95o,0.52,RAISE
94s,1.85,CALL
94o,-0.15,RAISE
93s,3.99,FOLD
93o,2.54,CALL
92s,-0.47,CALL
92o,3.58,FOLD
88,-1.88,CALL
87s,-1.82,FOLD
87o,2.95,CALL
86s,3.99,FOLD
86o,3.23,RAISE
85s,0.24,CALL
85o,-0.61,RAISE
84s,2.2,CALL
84o,1.57,CALL
83s,0.29,FOLD
83o,0.64,RAISE
82s,-0.01,RAISE
82o,3.27,FOLD
77,4.44,CALL
76s,2.62,CALL
76o,-0.79,FOLD
75s,1.55,FOLD
75o,-0.25,FOLD
74s,3.71,CALL
74o,-1.3,CALL
73s,3.82,FOLD
73o,-1.99,RAISE
72s,0.36,RAISE
72o,1.98,CALL
66,-1.41,CALL
65s,2.19,FOLD
65o,3.49,FOLD
64s,3.27,RAISE
64o,1.48,RAISE
63s,-0.8,RAISE
63o,1.31,RAISE
62s,1.76,FOLD
62o,3.97,RAISE
55,-1.4,RAISE
54s,-0.96,CALL
54o,4.18,RAISE
53s,2.25,RAISE
53o,0.54,CALL
52s,3.89,RAISE
52o,-0.96,RAISE
44,1.37,RAISE
43s,3.66,CALL
43o,4.61,CALL
42s,2.7,FOLD
42o,0.18,FOLD
33,1.56,FOLD
32s,1.76,FOLD
32o,2.46,CALL
22,1.05,FOLD
