Hand,EV,Action
AA,3.09,FOLD
AKs,0.44,FOLD
AKo,0.68,CALL
AQs,0.27,RAISE
AQo,4.64,CALL
AJs,-1.06,CALL
AJo,-1.98,CALL
ATs,0.37,CALL
ATo,3.13,RAISE
A9s,1.8,FOLD
A9o,4.38,CALL
A8s,-1.58,RAISE
A8o,3.39,RAISE
A7s,0.98,FOLD
A7o,3.4,RAISE
A6s,-1.13,RAISE
A6o,-0.09,RAISE
A5s,3.91,RAISE
A5o,-0.9,CALL
A4s,-1.99,CALL
A4o,3.12,FOLD
A3s,3.4,RAISE
A3o,1.16,CALL
A2s,-0.73,CALL
A2o,-1.86,RAISE
KK,3.67,RAISE
KQs,3.24,RAISE
KQo,3.69,FOLD
KJs,4.32,CALL
KJo,-0.51,CALL
KTs,0.37,RAISE
KTo,3.2,RAISE
K9s,1.13,FOLD
K9o,-0.46,FOLD
K8s,2.99,FOLD
K8o,3.39,RAISE
K7s,2.72,CALL
K7o,4.54,FOLD
K6s,4.02,FOLD
K6o,3.27,FOLD
K5s,-0.54,CALL
K5o,1.93,RAISE
K4s,4.18,FOLD
K4o,2.13,CALL
K3s,2.61,FOLD
K3o,1.24,RAISE
K2s,-1.12,FOLD
K2o,0.76,CALL
QQ,4.68,FOLD
QJs,1.26,FOLD
QJo,3.8,RAISE
QTs,2.98,RAISE
QTo,4.35,CALL
Q9s,1.63,FOLD
Q9o,0.86,FOLD
Q8s,-0.52,FOLD
Q8o,-0.82,FOLD
Q7s,3.37,CALL
Q7o,4.04,CALL
Q6s,0.45,FOLD
Q6o,0.72,CALL
Q5s,2.27,RAISE
Q5o,-0.16,CALL
Q4s,4.63,CALL
Q4o,1.11,RAISE
Q3s,3.9,CALL
Q3o,2.07,RAISE
Q2s,0.23,CALL
Q2o,3.19,FOLD
JJ,4.16,CALL
JTs,-1.08,CALL
JTo,1.78,RAISE
J9s,1.96,FOLD
J9o,4.59,RAISE
J8s,0.14,CALL
J8o,2.97,CALL
J7s,3.91,FOLD
J7o,1.47,RAISE
J6s,3.05,FOLD
J6o,4.46,RAISE
J5s,0.55,FOLD
J5o,0.63,RAISE
J4s,0.14,RAISE
J4o,2.96,FOLD
J3s,3.99,CALL
J3o,-0.45,FOLD
J2s,3.88,RAISE
J2o,2.97,RAISE
TT,4.84,CALL
T9s,0.51,RAISE
T9o,-0.28,FOLD
T8s,1.14,FOLD
T8o,2.24,RAISE
T7s,2.56,CALL
T7o,0.81,CALL
T6s,-1.35,CALL
T6o,2.54,FOLD
T5s,2.96,RAISE
T5o,0.48,CALL
T4s,4.68,RAISE
T4o,2.1,FOLD
T3s,-0.43,CALL
T3o,0.63,RAISE
T2s,2.82,FOLD
T2o,3.98,CALL
99,4.15,CALL
98s,-0.86,RAISE
98o,2.31,RAISE
97s,-1.76,RAISE
97o,-1.56,RAISE
96s,-1.94,CALL
96o,1.44,CALL
95s,4.44,FOLD
95o,-0.63,CALL
94s,2.47,RAISE
94o,4.04,FOLD
93s,-0.68,RAISE
93o,3.7,CALL
92s,0.66,CALL
92o,-1.67,FOLD
88,1.17,CALL
87s,-0.17,RAISE
87o,3.4,FOLD
86s,0.49,RAISE
86o,0.32,RAISE
85s,0.05,CALL
85o,0.07,FOLD
84s,-0.86,CALL
84o,4.61,RAISE
83s,3.4,CALL
83o,1.52,CALL
82s,2.58,CALL
82o,-1.34,CALL
77,-1.02,RAISE
76s,3.73,RAISE
76o,4.45,RAISE
75s,-0.79,FOLD
75o,0.3,RAISE
74s,1.51,FOLD
74o,2.1,RAISE
73s,1.76,RAISE
73o,0.96,FOLD
72s,3.03,RAISE
72o,4.61,FOLD
66,2.51,CALL
65s,0.03,RAISE
65o,-1.7,FOLD
64s,4.23,CALL
64o,3.95,FOLD
63s,4.0,FOLD
63o,-1.3,CALL
62s,2.91,FOLD
62o,-1.51,CALL
55,-0.94,FOLD
54s,1.89,RAISE
54o,4.94,RAISE
53s,3.36,CALL
53o,4.6,CALL
52s,-1.36,CALL
52o,2.27,FOLD
44,2.77,RAISE
43s,-0.73,FOLD
43o,-0.34,FOLD
42s,-0.28,RAISE
42o,1.61,RAISE
33,3.23,CALL
32s,-0.68,RAISE
32o,-0.42,CALL
22,0.54,CALL
